Company,Year,Role,Skill,Skill_Type
Oracle,2021,Backend Developer,Java,Traditional
Oracle,2021,Backend Developer,Spring Boot,Transitional
Oracle,2021,Backend Developer,SQL,Transitional
Oracle,2021,Software Engineer,Java,Traditional
Oracle,2021,Software Engineer,Data Structures,Transitional
Oracle,2021,Software Engineer,SQL,Transitional
Oracle,2021,Data Scientist,Python,Traditional
Oracle,2021,Data Scientist,Statistics,Transitional
Oracle,2021,Data Scientist,Machine Learning,Transitional
Oracle,2021,Frontend Developer,HTML,Transitional
Oracle,2021,Frontend Developer,CSS,Transitional
Oracle,2021,Frontend Developer,JavaScript,Transitional
Oracle,2021,Cloud Engineer,AWS,Traditional
Oracle,2021,Cloud Engineer,Networking,Transitional
Oracle,2021,Cloud Engineer,Linux,Transitional
Oracle,2021,Software Engineer,System Design,Traditional
Oracle,2021,Software Engineer,Multithreading,Traditional
Oracle,2021,Software Engineer,Distributed Systems,Transitional
Oracle,2022,Backend Developer,gRPC,Transitional
Oracle,2022,Backend Developer,API Gateway,Transitional
Oracle,2022,Backend Developer,OAuth2,Traditional
Oracle,2022,Full Stack Developer,Node.js,Transitional
Oracle,2022,Full Stack Developer,React,Traditional
Oracle,2022,Full Stack Developer,SQL,Transitional
Oracle,2022,Frontend Developer,JavaScript,Transitional
Oracle,2022,Frontend Developer,React,Traditional
Oracle,2022,Frontend Developer,CSS,Transitional
Oracle,2022,Data Scientist,Python,Traditional
Oracle,2022,Data Scientist,Machine Learning,Transitional
Oracle,2022,Data Scientist,Deep Learning,Traditional
Oracle,2022,Software Engineer,Java,Traditional
Oracle,2022,Software Engineer,System Design,Traditional
Oracle,2022,Software Engineer,SQL,Transitional
Oracle,2022,Data Analyst,SQL,Transitional
Oracle,2022,Data Analyst,Power BI,Transitional
Oracle,2022,Data Analyst,Python,Traditional
Oracle,2023,Backend Developer,Golang,Transitional
Oracle,2023,Backend Developer,REST APIs,Transitional
Oracle,2023,Backend Developer,Microservices,Traditional
Oracle,2023,Machine Learning Engineer,MLOps,Transitional
Oracle,2023,Machine Learning Engineer,TensorFlow,Transitional
Oracle,2023,Machine Learning Engineer,Kubernetes,Transitional
Oracle,2023,Software Engineer,Java,Traditional
Oracle,2023,Software Engineer,Microservices,Traditional
Oracle,2023,Software Engineer,System Design,Traditional
Oracle,2023,DevOps Engineer,Kubernetes,Transitional
Oracle,2023,DevOps Engineer,Terraform,Traditional
Oracle,2023,DevOps Engineer,AWS,Traditional
Oracle,2023,Data Scientist,Deep Learning,Traditional
Oracle,2023,Data Scientist,TensorFlow,Transitional
Oracle,2023,Data Scientist,Feature Engineering,Transitional
Oracle,2023,Cloud Engineer,Terraform,Upcoming
Oracle,2023,Cloud Engineer,Infrastructure as Code,Upcoming
Oracle,2023,Cloud Engineer,Auto Scaling,Transitional
Oracle,2024,DevOps Engineer,GitOps,Upcoming
Oracle,2024,DevOps Engineer,Helm Charts,Transitional
